sprint,compartment,id,task,owner,date,status,expected,actual,blocker,delay_reason,rag
Sprint 1,"Compartment 4: Leadership, Compute & Enablers",S1.19,Kick off PM Intern (25 hrs/wk) hiring,Gaurav,"Tue, Sept 1 (Day 1)",[ ] Planned,Active job description & candidate sourcing,-,None,None,🟡
Sprint 1,"Compartment 4: Leadership, Compute & Enablers",S1.20,Initial September GPU/compute sync with Sajan,Gaurav,"Thu, Sept 3 (Day 3)",[ ] Planned,Compute vendor contacts & initial workload candidate list,-,None,None,🟡
Sprint 1,"Compartment 4: Leadership, Compute & Enablers",S1.21,**Weekly Product & Capability Review #1 (8:00 PM)**,Gaurav,"Fri, Sept 4 (Day 4)",[ ] Planned,"Review minutes, Week 1 bug fix verification & RAG audit",-,None,None,🟡
Sprint 2,"Compartment 1: Market, Intake & Client POCs",S2.1,Walkthrough Intake Process with Pranab Sir,Prakhar,"Mon, Sept 7 (Day 7)",[ ] Planned,Business alignment on mandatory intake rules,-,None,None,🟡
Sprint 2,"Compartment 1: Market, Intake & Client POCs",S2.2,**Sign off Business $\rightarrow$ Tech Intake Format (M6)**,Prakhar,"**Thu, Sept 10 (Day 10)**",[ ] Planned,"**Joint intake format signed off; live for Fri, Sept 11**",-,None,None,🟡
Sprint 2,"Compartment 1: Market, Intake & Client POCs",S2.3,Conduct structured scoping call: **Orane**,Yashvi,"Tue, Sept 8 (Day 8)",[ ] Planned,"Scope v1 draft for Orane (scale, features, timeline)",-,None,None,🟡
Sprint 2,"Compartment 1: Market, Intake & Client POCs",S2.4,Conduct structured scoping call: **College Vidya**,Yashvi,"Wed, Sept 9 (Day 9)",[ ] Planned,Scope v1 draft for College Vidya (CRM/voice needs),-,None,None,🟡
Sprint 2,"Compartment 1: Market, Intake & Client POCs",S2.5,Conduct structured scoping call: **Chitkara**,Yashvi,"Thu, Sept 10 (Day 10)",[ ] Planned,Scope v1 draft for Chitkara (100-student placement cohort),-,None,None,🟡
Sprint 2,"Compartment 1: Market, Intake & Client POCs",S2.6,Consolidate 3 Client Scope v1 drafts,Yashvi,"Fri, Sept 11 (Day 11)",[ ] Planned,3 Scopes ready for technical feasibility review,-,None,None,🟡
Sprint 2,"Compartment 1: Market, Intake & Client POCs",S2.7,Finalize & format **Product Catalogue v1**,Prakhar,"Fri, Sept 11 (Day 11)",[ ] Planned,Published catalogue ready for official release (Due Sept 14),-,None,None,🟡
Sprint 2,"Compartment 1: Market, Intake & Client POCs",S2.8,Finalize & format **Capability Registry v1**,Yashvi,"Fri, Sept 11 (Day 11)",[ ] Planned,Seed registry ready for official release (Due Sept 14),-,None,None,🟡
Sprint 2,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S2.9,**In-House LMS Architecture & Data Schema Design**,Shubham,"Tue, Sept 8 (Day 8)",[ ] Planned,Technical architecture spec for replacing Graphy in Mr. Learn,-,None,None,🟡
Sprint 2,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S2.10,**In-House LMS Core Build (Part 1: Course & Content Engine)**,Shubham,"Fri, Sept 11 (Day 11)",[ ] Planned,"In-house course structure, modules & video delivery service",-,None,None,🟡
Sprint 2,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S2.11,Curate clean demo environment: **Learning Suite**,Shubham,"Wed, Sept 9 (Day 9)",[ ] Planned,"Seeded with safe, client-presentable student data",-,None,None,🟡
Sprint 2,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S2.12,Curate clean demo environment: **Sales CRM**,Shubham,"Thu, Sept 10 (Day 10)",[ ] Planned,Stripped of internal MAS lead data; clean CRM pipeline,-,None,None,🟡
Sprint 2,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S2.13,**Demo #2: Learning Suite Walkthrough**,Yashvi,"**Wed, Sept 9 (Day 9)**",[ ] Planned,**Weekday baseline demo of Learning Suite**,-,None,None,🟡
Sprint 2,"Compartment 3: Cloud, Cost & Internal Automation",S2.14,"Identify idle, duplicate, orphaned cloud resources",Rohan,"Mon, Sept 7 (Day 7)",[ ] Planned,"Cloud cleanup action list (disks, IPs, test VMs)",-,None,None,🟡
Sprint 2,"Compartment 3: Cloud, Cost & Internal Automation",S2.15,Clean up unused resources & permissions in GCP/AWS,Rohan,"Tue, Sept 8 (Day 8)",[ ] Planned,Reduced waste & cleaner cloud estate,-,None,None,🟡
Sprint 2,"Compartment 3: Cloud, Cost & Internal Automation",S2.16,"Apply naming, ownership and cost tagging to cloud assets",Rohan,"Wed, Sept 9 (Day 9)",[ ] Planned,Resources traceable by product and environment,-,None,None,🟡
Sprint 2,"Compartment 3: Cloud, Cost & Internal Automation",S2.17,Prototype token & latency tracking helper / middleware,Rohan,"Thu, Sept 10 (Day 10)",[ ] Planned,Request-level token logging on suite endpoints,-,None,None,🟡
Sprint 2,"Compartment 3: Cloud, Cost & Internal Automation",S2.18,Score collected departmental automation workflows,Rohan,"Fri, Sept 11 (Day 11)",[ ] Planned,"Workflows ranked by effort, impact, hours saved",-,None,None,🟡
Sprint 2,"Compartment 3: Cloud, Cost & Internal Automation",S2.19,**Full live pod rollout of Slack Standup Bot**,Yashvi,"**Mon, Sept 7 (Day 7)**",[ ] Planned,**100% daily standup updates captured via Slack DMs & synced**,-,None,None,🟡
Sprint 2,"Compartment 3: Cloud, Cost & Internal Automation",S2.20,**Add /standup-notes & weekend rollover handler**,Yashvi,"**Thu, Sept 10 (Day 10)**",[ ] Planned,**Post-call highlight logger and weekend rollover features live**,-,None,None,🟡
Sprint 2,"Compartment 4: Leadership, Compute & Enablers",S2.21,Screen resumes & interview QA Tester candidates,Gaurav,"Wed, Sept 9 (Day 9)",[ ] Planned,QA candidate shortlisted & evaluated,-,None,None,🟡
Sprint 2,"Compartment 4: Leadership, Compute & Enablers",S2.22,Screen resumes & interview PM Intern candidates,Gaurav,"Wed, Sept 9 (Day 9)",[ ] Planned,PM Intern candidate evaluated,-,None,None,🟡
Sprint 2,"Compartment 4: Leadership, Compute & Enablers",S2.23,Extend offers for QA Tester and PM Intern,Gaurav,"Fri, Sept 11 (Day 11)",[ ] Planned,Offers extended for Sept 21 onboarding,-,None,None,🟡
Sprint 2,"Compartment 4: Leadership, Compute & Enablers",S2.24,Define GPU model-serving architecture with Sajan,Gaurav,"Thu, Sept 10 (Day 10)",[ ] Planned,API vs Self-hosted cost comparison note,-,None,None,🟡
Sprint 2,"Compartment 4: Leadership, Compute & Enablers",S2.25,**Weekly Review #2: Month 1 Mid-Point Sign-off**,Gaurav,"Fri, Sept 11 (Day 11)",[ ] Planned,Intake sign-off confirmed; LMS Build Part 1 progress review,-,None,None,🟡
Sprint 3,"Compartment 1: Market, Intake & Client POCs",S3.1,**Publish Product Catalogue v1 (M5)**,Prakhar,"**Mon, Sept 14 (Day 14)**",[ ] Planned,**Catalogue v1 complete & published for Business**,-,None,None,🟡
Sprint 3,"Compartment 1: Market, Intake & Client POCs",S3.2,**Publish Capability Registry v1 (M5)**,Yashvi,"**Mon, Sept 14 (Day 14)**",[ ] Planned,**Registry v1 seeded & published for Business**,-,None,None,🟡
Sprint 3,"Compartment 1: Market, Intake & Client POCs",S3.3,Conduct technical feasibility review on 3 client scopes,Shubham,"Wed, Sept 16 (Day 16)",[ ] Planned,Feasibility note & rough effort estimate per client,-,None,None,🟡
Sprint 3,"Compartment 1: Market, Intake & Client POCs",S3.4,Finalize written POC Scope: **Orane**,Yashvi,"Thu, Sept 17 (Day 17)",[ ] Planned,Written scope document ready for Business & client sign-off,-,None,None,🟡
Sprint 3,"Compartment 1: Market, Intake & Client POCs",S3.5,Finalize written POC Scope: **College Vidya**,Yashvi,"Thu, Sept 17 (Day 17)",[ ] Planned,Written scope document ready for Business & client sign-off,-,None,None,🟡
Sprint 3,"Compartment 1: Market, Intake & Client POCs",S3.6,Finalize written POC Scope: **Chitkara**,Yashvi,"Fri, Sept 18 (Day 18)",[ ] Planned,Written scope document ready for Business & client sign-off,-,None,None,🟡
Sprint 3,"Compartment 1: Market, Intake & Client POCs",S3.7,**Secure 3 Accepted Written POC Scopes (M1)**,Yashvi,"**Sun, Sept 20 (Day 20)**",[ ] Planned,**3 Written POC scopes accepted by client and Business**,-,None,None,🟡
Sprint 3,"Compartment 1: Market, Intake & Client POCs",S3.8,Mandatory intake process enforcement on all new leads,Prakhar,Daily,[ ] Planned,100% of new client requests enter through standard intake,-,None,None,🟡
Sprint 3,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S3.9,**In-House LMS Build (Part 2: Student OS & Progress Tracking)**,Shubham,"Wed, Sept 16 (Day 16)",[ ] Planned,"Student profile, module progress & analytics tracking module",-,None,None,🟡
Sprint 3,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S3.10,**In-House LMS Integration with Mr. Learn & Mr. Test**,Shubham,"Fri, Sept 18 (Day 18)",[ ] Planned,Working prototype connecting Mr. Learn UI to in-house LMS,-,None,None,🟡
Sprint 3,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S3.11,Create short 15-min demo flow/script per suite,Shubham,"Wed, Sept 16 (Day 16)",[ ] Planned,Business-ready demo flow & narrative scripts,-,None,None,🟡
Sprint 3,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S3.12,**Demo #3: Sales & Admin Suite Walkthrough**,Prakhar,"**Thu, Sept 17 (Day 17)**",[ ] Planned,**Weekday demo of Sales & Admin Suite**,-,None,None,🟡
Sprint 3,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S3.13,Start QA regression test suite on P0 products,QA / Tester,"Fri, Sept 18 (Day 18)",[ ] Planned,Regression test cases drafted and executing,-,None,None,🟡
Sprint 3,"Compartment 3: Cloud, Cost & Internal Automation",S3.14,Restructure cloud projects & accounts where required,Rohan,"Tue, Sept 15 (Day 15)",[ ] Planned,Clean logical separation across GCP/AWS,-,None,None,🟡
Sprint 3,"Compartment 3: Cloud, Cost & Internal Automation",S3.15,Separate dev / demo / production environments,Rohan,"Thu, Sept 17 (Day 17)",[ ] Planned,Isolated demo environment preventing test contamination,-,None,None,🟡
Sprint 3,"Compartment 3: Cloud, Cost & Internal Automation",S3.16,"Select top 1 simple, high-value departmental workflow",Rohan,"Wed, Sept 16 (Day 16)",[ ] Planned,Target automation selected for Month 1 build,-,None,None,🟡
Sprint 3,"Compartment 3: Cloud, Cost & Internal Automation",S3.17,Build & test first internal automation workflow prototype,Rohan,"Fri, Sept 18 (Day 18)",[ ] Planned,Core automation script/integration built,-,None,None,🟡
Sprint 3,"Compartment 3: Cloud, Cost & Internal Automation",S3.18,**Switch on AI Cost Instrumentation Baseline (M4)**,Rohan,"**Mon, Sept 21 (Day 21)**",[ ] Planned,**Product-level token/API spend visible for live workloads**,-,None,None,🟡
Sprint 3,"Compartment 4: Leadership, Compute & Enablers",S3.19,Advance GPU compute/vendor discussions with Sajan,Gaurav,"Thu, Sept 17 (Day 17)",[ ] Planned,"Hardware spec options, vendor terms, and cost projection",-,None,None,🟡
Sprint 3,"Compartment 4: Leadership, Compute & Enablers",S3.20,**Weekly Product & Capability Review #3 (8:00 PM)**,Gaurav,"Fri, Sept 18 (Day 18)",[ ] Planned,"Review minutes, LMS Prototype Part 2 preview & ad-hoc audit",-,None,None,🟡
Sprint 3,"Compartment 4: Leadership, Compute & Enablers",S3.21,**Onboard QA Tester & PM Intern (M8)**,Gaurav,"**Mon, Sept 21 (Day 21)**",[ ] Planned,**QA active on P0 regression; Intern active on tasks**,-,None,None,🟡
Sprint 4,"Compartment 1: Market, Intake & Client POCs",S4.1,Hand over accepted POC scopes to Tech Lead,Yashvi,"Tue, Sept 22 (Day 22)",[ ] Planned,"Clear deployment handoff for Orane, CV, Chitkara",-,None,None,🟡
Sprint 4,"Compartment 1: Market, Intake & Client POCs",S4.2,Deploy PM Intern on catalogue & client tracking,Yashvi,"Thu, Sept 24 (Day 24)",[ ] Planned,PM Intern operational on tracking & meeting logs,-,None,None,🟡
Sprint 4,"Compartment 1: Market, Intake & Client POCs",S4.3,Publish Month 2 Backlog (including Externalisation Gap Sheet),Prakhar,"Sat, Sept 26 (Day 26)",[ ] Planned,Prioritized engineering sprint backlog for Month 2,-,None,None,🟡
Sprint 4,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S4.4,Execute full demo dry-runs with QA on both live suites,Shubham,"Wed, Sept 23 (Day 23)",[ ] Planned,End-to-end regression & flow validation pass,-,None,None,🟡
Sprint 4,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S4.5,**Demo #4: Learning Suite Walkthrough (with LMS Prototype)**,Yashvi,"**Thu, Sept 24 (Day 24)**",[ ] Planned,**Weekday demo of Learning Suite with In-House LMS Preview**,-,None,None,🟡
Sprint 4,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S4.6,Fix all remaining demo and staging edge cases,Rohan,"Thu, Sept 24 (Day 24)",[ ] Planned,Zero critical bugs; staging rock solid,-,None,None,🟡
Sprint 4,"Compartment 2: Product, In-House LMS & Demo Stabilisation",S4.7,**P0 Stabilisation & Demo Readiness Sign-Off (M2)**,Shubham,"**Fri, Sept 25 (Day 25)**",[ ] Planned,**100% of P0 products demo-able on 24h notice; zero critical bugs**,-,None,None,🟡
Sprint 4,"Compartment 3: Cloud, Cost & Internal Automation",S4.8,**Document final GCP + AWS architecture & ownership**,Rohan,"**Fri, Sept 25 (Day 25)**",[ ] Planned,Shared cloud infra map with cost attribution by product,-,None,None,🟡
Sprint 4,"Compartment 3: Cloud, Cost & Internal Automation",S4.9,Deploy & test internal automation with actual department users,Rohan,"Fri, Sept 25 (Day 25)",[ ] Planned,Live end-to-end workflow execution,-,None,None,🟡
Sprint 4,"Compartment 3: Cloud, Cost & Internal Automation",S4.10,Measure baseline vs post-automation hours saved per week,Rohan,"Mon, Sept 28 (Day 28)",[ ] Planned,Measured internal service value metric,-,None,None,🟡
Sprint 4,"Compartment 3: Cloud, Cost & Internal Automation",S4.11,**Launch First Internal AI Automation Workflow Live (M7)**,Rohan,"**Mon, Sept 28 (Day 28)**",[ ] Planned,**Workflow live in production; weekly hours saved tracked**,-,None,None,🟡
Sprint 4,"Compartment 4: Leadership, Compute & Enablers",S4.12,**Weekly Review #4: P0 Demo Readiness Sign-off (8:00 PM)**,Gaurav,"Fri, Sept 25 (Day 25)",[ ] Planned,"Review minutes, Demo sign-off & LMS prototype verification",-,None,None,🟡
Sprint 4,"Compartment 4: Leadership, Compute & Enablers",S4.13,**Finalize September GPU / Compute Setup Track (M10)**,Gaurav,"**Wed, Sept 30 (Day 30)**",[ ] Planned,"**Compute option, vendor contact, architecture & cost plan ready**",-,None,None,🟡
Sprint 4,"Compartment 4: Leadership, Compute & Enablers",S4.14,**MAS AI Labs Website & Info ID Live (M11)**,Marketing / Vendor,"**Wed, Sept 30 (Day 30)**",[ ] Planned,**Website live + Info ID routed to named owner**,-,None,None,🟡
Sprint 4,"Compartment 4: Leadership, Compute & Enablers",S4.15,"Close 3 financial baselines (Revenue target, run-rate, hiring)",Gaurav,"Wed, Sept 30 (Day 30)",[ ] Planned,Closed financial baselines with Jitin Sir & Pranab Sir,-,None,None,🟡
Sprint 4,"Compartment 4: Leadership, Compute & Enablers",S4.16,**Publish Month-End Management Report & Month 2 Backlog**,Gaurav,"**Wed, Sept 30 (Day 30)**",[ ] Planned,**Comprehensive Month 1 closure report & Month 2 plan**,-,None,None,🟡
